Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 11 MARS 2022,33,TIRAGE «CASH» N°186,47,82,46,54
1,VENDREDI 11 MARS 2022,58,TIRAGE «CASH» NUMEROS MACHINE N°186,13,51,59,79
2,JEUDI 10 MARS 2022,46,TIRAGE «MONNI» N°166,41,11,7,2
3,JEUDI 10 MARS 2022,4,TIRAGE «MONNI» NUMEROS MACHINE N°166,80,65,13,68
4,JEUDI 10 MARS 2022,72,TIRAGE «PRIVILEGE» N°306,38,53,81,84
5,JEUDI 10 MARS 2022,79,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°306,44,33,35,76
6,JEUDI 10 MARS 2022,19,TIRAGE «KADO» N°184,60,30,54,81
7,JEUDI 10 MARS 2022,67,TIRAGE «KADO» NUMEROS MACHINE N°184,3,23,29,78
8,MERCREDI 9 MARS 2022,34,TIRAGE « MID WEEK » N°953,49,8,77,69
9,MERCREDI 9 MARS 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°166,7,4,9,33
10,MERCREDI 9 MARS 2022,2,TIRAGE «BARAKA» N°166,37,14,24,30
11,MERCREDI 9 MARS 2022,46,TIRAGE «FORTUNE» NUMEROS MACHINE N°714,63,86,69,12
0,JEUDI 10 MARS 2022,19,TIRAGE «KADO» N°184,60,30,54,81
1,JEUDI 10 MARS 2022,67,TIRAGE «KADO» NUMEROS MACHINE N°184,3,23,29,78
2,MERCREDI 9 MARS 2022,34,TIRAGE « MID WEEK » N°953,49,8,77,69
3,MERCREDI 9 MARS 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°166,7,4,9,33
4,MERCREDI 9 MARS 2022,2,TIRAGE «BARAKA» N°166,37,14,24,30
5,MERCREDI 9 MARS 2022,46,TIRAGE «FORTUNE» NUMEROS MACHINE N°714,63,86,69,12
6,MERCREDI 9 MARS 2022,5,TIRAGE «FORTUNE» N°714,3,39,15,72
7,MERCREDI 9 MARS 2022,70,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°185,73,30,76,6
8,MERCREDI 9 MARS 2022,63,TIRAGE «PREMIERE HEURE» N°185,21,42,12,28
9,MARDI 8 MARS 2022,69,TIRAGE «SIKA» NUMEROS MACHINE N°166,79,85,10,9
10,MARDI 8 MARS 2022,46,TIRAGE « LUCKY TUESDAY » N°756,40,1,19,38
11,MARDI 8 MARS 2022,61,TIRAGE « EMERGENCE » NUMEROS MACHINE N°306,68,47,16,42
0,SAMEDI 19 FÉVRIER 2022,22,TIRAGE « SOUTRA» N°183,47,20,34,12
1,SAMEDI 19 FÉVRIER 2022,54,TIRAGE « SOUTRA» NUMEROS MACHINE N°183,82,60,4,71
2,VENDREDI 18 FÉVRIER 2022,37,TIRAGE « FRIDAY BONANZA» N° 725,38,72,4,61
3,VENDREDI 18 FÉVRIER 2022,24,TIRAGE « WARI » NUMEROS MACHINE N°163,42,9,81,76
4,VENDREDI 18 FÉVRIER 2022,64,TIRAGE « WARI » N°163,1,89,80,59
5,VENDREDI 18 FÉVRIER 2022,44,TIRAGE « SOLUTION » NUMEROS MACHINE N°303,3,15,82,9
6,VENDREDI 18 FÉVRIER 2022,87,TIRAGE « SOLUTION » N°303,28,34,59,90
7,VENDREDI 18 FÉVRIER 2022,26,TIRAGE «CASH» NUMEROS MACHINE N°183,5,46,20,28
8,VENDREDI 18 FÉVRIER 2022,13,TIRAGE «CASH» N°183,41,3,19,33
9,JEUDI 17 FÉVRIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°163,29,37,40,70
10,JEUDI 17 FÉVRIER 2022,64,TIRAGE « FORTUNE THURSDAY» N°753,87,90,18,32
11,JEUDI 17 FÉVRIER 2022,76,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°303,47,25,40,1
0,VENDREDI 25 FÉVRIER 2022,87,TIRAGE « FRIDAY BONANZA» N° 726,7,8,14,30
1,VENDREDI 25 FÉVRIER 2022,71,TIRAGE « WARI » NUMEROS MACHINE N°164,49,89,21,22
2,VENDREDI 25 FÉVRIER 2022,23,TIRAGE « WARI » N°164,78,67,69,37
3,VENDREDI 25 FÉVRIER 2022,57,TIRAGE « SOLUTION » NUMEROS MACHINE N°304,85,32,44,52
4,VENDREDI 25 FÉVRIER 2022,84,TIRAGE « SOLUTION » N°304,31,53,5,15
5,VENDREDI 25 FÉVRIER 2022,35,TIRAGE «CASH» NUMEROS MACHINE N°184,28,86,45,66
6,VENDREDI 25 FÉVRIER 2022,77,TIRAGE «CASH» N°184,36,3,60,51
7,JEUDI 24 FÉVRIER 2022,71,TIRAGE «MONNI» NUMEROS MACHINE N°163,16,80,55,75
8,JEUDI 24 FÉVRIER 2022,39,TIRAGE «MONNI» N°163,88,63,21,33
9,JEUDI 24 FÉVRIER 2022,61,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°304,82,38,32,79
10,JEUDI 24 FÉVRIER 2022,18,TIRAGE «PRIVILEGE» N°304,68,3,14,25
11,JEUDI 24 FÉVRIER 2022,83,TIRAGE «KADO» NUMEROS MACHINE N°182,50,68,58,86
0,JEUDI 10 FÉVRIER 2022,2,TIRAGE «MONNI» N°162,56,63,72,5
1,JEUDI 10 FÉVRIER 2022,88,TIRAGE «MONNI» NUMEROS MACHINE N°162,33,45,61,79
2,JEUDI 10 FÉVRIER 2022,84,TIRAGE «PRIVILEGE» N°302,88,1,7,47
3,JEUDI 10 FÉVRIER 2022,67,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°302,66,57,48,25
4,JEUDI 10 FÉVRIER 2022,73,TIRAGE «KADO» N°180,72,85,8,34
5,JEUDI 10 FÉVRIER 2022,29,TIRAGE «KADO» NUMEROS MACHINE N°180,43,50,84,13
6,MERCREDI 9 FÉVRIER 2022,30,TIRAGE « MID WEEK » N°949,64,13,62,78
7,MERCREDI 9 FÉVRIER 2022,10,TIRAGE «BARAKA» NUMEROS MACHINE N°162,41,45,27,26
8,MERCREDI 9 FÉVRIER 2022,70,TIRAGE «BARAKA» N°162,59,11,15,16
9,MERCREDI 9 FÉVRIER 2022,1,TIRAGE «FORTUNE» NUMEROS MACHINE N°710,25,71,88,86
10,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «FORTUNE» N°710,27,48,39,9
11,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°181,44,78,83,90
0,VENDREDI 11 FÉVRIER 2022,39,TIRAGE « WARI » N°162,57,23,79,19
1,VENDREDI 11 FÉVRIER 2022,90,TIRAGE « WARI » NUMEROS MACHINE N°162,33,82,5,75
2,VENDREDI 11 FÉVRIER 2022,44,TIRAGE « SOLUTION » N°302,47,71,18,77
3,VENDREDI 11 FÉVRIER 2022,40,TIRAGE « SOLUTION » NUMEROS MACHINE N°302,22,1,16,6
4,VENDREDI 11 FÉVRIER 2022,38,TIRAGE «CASH» N°182,81,68,51,14
5,VENDREDI 11 FÉVRIER 2022,70,TIRAGE «CASH» NUMEROS MACHINE N°182,5,79,72,33
6,JEUDI 10 FÉVRIER 2022,26,TIRAGE « FORTUNE THURSDAY» N°752,39,70,60,10
7,JEUDI 10 FÉVRIER 2022,88,TIRAGE «MONNI» NUMEROS MACHINE N°162,33,45,61,79
8,JEUDI 10 FÉVRIER 2022,2,TIRAGE «MONNI» N°162,56,63,72,5
9,JEUDI 10 FÉVRIER 2022,67,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°302,66,57,48,25
10,JEUDI 10 FÉVRIER 2022,84,TIRAGE «PRIVILEGE» N°302,88,1,7,47
11,JEUDI 10 FÉVRIER 2022,29,TIRAGE «KADO» NUMEROS MACHINE N°180,43,50,84,13
0,SAMEDI 26 FÉVRIER 2022,32,TIRAGE « DIAMANT» N°713,34,81,26,50
1,SAMEDI 26 FÉVRIER 2022,15,TIRAGE « DIAMANT» NUMEROS MACHINE N°713,87,85,80,79
2,SAMEDI 26 FÉVRIER 2022,67,TIRAGE « SOUTRA» N°184,86,1,41,54
3,SAMEDI 26 FÉVRIER 2022,77,TIRAGE « SOUTRA» NUMEROS MACHINE N°184,17,16,38,51
4,VENDREDI 25 FÉVRIER 2022,87,TIRAGE « FRIDAY BONANZA» N° 726,7,8,14,30
5,VENDREDI 25 FÉVRIER 2022,71,TIRAGE « WARI » NUMEROS MACHINE N°164,49,89,21,22
6,VENDREDI 25 FÉVRIER 2022,23,TIRAGE « WARI » N°164,78,67,69,37
7,VENDREDI 25 FÉVRIER 2022,57,TIRAGE « SOLUTION » NUMEROS MACHINE N°304,85,32,44,52
8,VENDREDI 25 FÉVRIER 2022,84,TIRAGE « SOLUTION » N°304,31,53,5,15
9,VENDREDI 25 FÉVRIER 2022,35,TIRAGE «CASH» NUMEROS MACHINE N°184,28,86,45,66
10,VENDREDI 25 FÉVRIER 2022,77,TIRAGE «CASH» N°184,36,3,60,51
11,JEUDI 24 FÉVRIER 2022,71,TIRAGE «MONNI» NUMEROS MACHINE N°163,16,80,55,75
0,DIMANCHE 20 FÉVRIER 2022,51,TIRAGE «PRESTIGE» N°231,83,22,70,26
1,DIMANCHE 20 FÉVRIER 2022,4,TIRAGE «PRESTIGE» NUMEROS MACHINE N°231,89,38,7,24
2,DIMANCHE 20 FÉVRIER 2022,65,TIRAGE «BENEDICTION» N°183,7,89,1,59
3,DIMANCHE 20 FÉVRIER 2022,62,TIRAGE «BENEDICTION» NUMEROS MACHINE N°183,55,45,28,84
4,SAMEDI 19 FÉVRIER 2022,3,TIRAGE « MOAYE » N°163,4,57,60,51
5,SAMEDI 19 FÉVRIER 2022,16,TIRAGE « MOAYE » NUMEROS MACHINE N°163,2,41,80,31
6,SAMEDI 19 FÉVRIER 2022,43,TIRAGE « DIAMANT» N°712,6,32,46,3
7,SAMEDI 19 FÉVRIER 2022,31,TIRAGE « DIAMANT» NUMEROS MACHINE N°712,90,18,84,8
8,SAMEDI 19 FÉVRIER 2022,22,TIRAGE « SOUTRA» N°183,47,20,34,12
9,SAMEDI 19 FÉVRIER 2022,54,TIRAGE « SOUTRA» NUMEROS MACHINE N°183,82,60,4,71
10,VENDREDI 18 FÉVRIER 2022,37,TIRAGE « FRIDAY BONANZA» N° 725,38,72,4,61
11,VENDREDI 18 FÉVRIER 2022,24,TIRAGE « WARI » NUMEROS MACHINE N°163,42,9,81,76
0,MERCREDI 2 MARS 2022,77,TIRAGE « MID WEEK » N°952,43,88,18,52
1,MERCREDI 2 MARS 2022,83,TIRAGE «BARAKA» NUMEROS MACHINE N°165,14,24,38,87
2,MERCREDI 2 MARS 2022,54,TIRAGE «BARAKA» N°165,59,79,75,85
3,MERCREDI 2 MARS 2022,5,TIRAGE «FORTUNE» NUMEROS MACHINE N°713,48,72,62,33
4,MERCREDI 2 MARS 2022,46,TIRAGE «FORTUNE» N°713,36,2,74,6
5,MERCREDI 2 MARS 2022,89,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°184,19,30,35,56
6,MERCREDI 2 MARS 2022,82,TIRAGE «PREMIERE HEURE» N°184,90,13,22,36
7,MARDI 1 MARS 2022,28,TIRAGE «SIKA» NUMEROS MACHINE N°165,90,6,51,33
8,MARDI 1 MARS 2022,19,TIRAGE «SIKA» N°165,64,14,25,83
9,MARDI 1 MARS 2022,80,TIRAGE « EMERGENCE » NUMEROS MACHINE N°305,22,13,55,47
10,MARDI 1 MARS 2022,37,TIRAGE « EMERGENCE » N°305,5,9,50,19
11,MARDI 1 MARS 2022,5,TIRAGE « LA MATINALE » NUMEROS MACHINE N°184,16,51,62,90
0,MARDI 22 FÉVRIER 2022,42,TIRAGE « EMERGENCE » N°304,68,33,6,17
1,MARDI 22 FÉVRIER 2022,37,TIRAGE « EMERGENCE » NUMEROS MACHINE N°304,16,44,75,81
2,MARDI 22 FÉVRIER 2022,4,TIRAGE « LA MATINALE » N°183,79,82,53,46
3,MARDI 22 FÉVRIER 2022,74,TIRAGE « LA MATINALE » NUMEROS MACHINE N°183,26,80,9,77
4,LUNDI 21 FÉVRIER 2022,82,TIRAGE «MONDAY SPECIAL» N°821,8,34,3,20
5,LUNDI 21 FÉVRIER 2022,11,TIRAGE «AKWABA» NUMEROS MACHINE N°164,65,18,23,54
6,LUNDI 21 FÉVRIER 2022,87,TIRAGE «AKWABA» N°164,60,30,12,69
7,LUNDI 21 FÉVRIER 2022,42,TIRAGE «ETOILE» NUMEROS MACHINE N°303,10,64,75,22
8,LUNDI 21 FÉVRIER 2022,5,TIRAGE «ETOILE» N°303,77,52,65,61
9,DIMANCHE 20 FÉVRIER 2022,90,TIRAGE «ESPOIR» NUMEROS MACHINE N°200,9,89,52,41
10,DIMANCHE 20 FÉVRIER 2022,11,TIRAGE «ESPOIR» N°200,27,34,17,75
11,DIMANCHE 20 FÉVRIER 2022,13,TIRAGE «AWALE» NUMEROS MACHINE N°163,40,26,24,87
0,LUNDI 21 FÉVRIER 2022,87,TIRAGE «AKWABA» N°164,60,30,12,69
1,LUNDI 21 FÉVRIER 2022,11,TIRAGE «AKWABA» NUMEROS MACHINE N°164,65,18,23,54
2,LUNDI 21 FÉVRIER 2022,5,TIRAGE «ETOILE» N°303,77,52,65,61
3,LUNDI 21 FÉVRIER 2022,42,TIRAGE «ETOILE» NUMEROS MACHINE N°303,10,64,75,22
4,DIMANCHE 20 FÉVRIER 2022,11,TIRAGE «ESPOIR» N°200,27,34,17,75
5,DIMANCHE 20 FÉVRIER 2022,90,TIRAGE «ESPOIR» NUMEROS MACHINE N°200,9,89,52,41
6,DIMANCHE 20 FÉVRIER 2022,62,TIRAGE «AWALE» N°163,79,21,89,71
7,DIMANCHE 20 FÉVRIER 2022,13,TIRAGE «AWALE» NUMEROS MACHINE N°163,40,26,24,87
8,DIMANCHE 20 FÉVRIER 2022,51,TIRAGE «PRESTIGE» N°231,83,22,70,26
9,DIMANCHE 20 FÉVRIER 2022,4,TIRAGE «PRESTIGE» NUMEROS MACHINE N°231,89,38,7,24
10,DIMANCHE 20 FÉVRIER 2022,65,TIRAGE «BENEDICTION» N°183,7,89,1,59
11,DIMANCHE 20 FÉVRIER 2022,62,TIRAGE «BENEDICTION» NUMEROS MACHINE N°183,55,45,28,84
0,LUNDI 28 FÉVRIER 2022,42,TIRAGE «ETOILE» N°304,54,61,39,10
1,LUNDI 28 FÉVRIER 2022,68,TIRAGE «ETOILE» NUMEROS MACHINE N°304,76,89,56,38
2,LUNDI 28 FÉVRIER 2022,22,TIRAGE «REVEIL» N°184,51,52,9,75
3,LUNDI 28 FÉVRIER 2022,32,TIRAGE «REVEIL» NUMEROS MACHINE N°184,18,59,61,31
4,DIMANCHE 27 FÉVRIER 2022,46,TIRAGE «ESPOIR» N°201,51,62,16,60
5,DIMANCHE 27 FÉVRIER 2022,43,TIRAGE «ESPOIR» NUMEROS MACHINE N°201,25,26,58,8
6,DIMANCHE 27 FÉVRIER 2022,86,TIRAGE «AWALE» N°164,41,26,89,47
7,DIMANCHE 27 FÉVRIER 2022,4,DU TIRAGE «AWALE» NUMEROS MACHINE N°164,24,56,71,45
8,DIMANCHE 27 FÉVRIER 2022,17,TIRAGE «PRESTIGE» N°232,73,86,20,54
9,DIMANCHE 27 FÉVRIER 2022,40,TIRAGE «PRESTIGE» NUMEROS MACHINE N°232,89,22,72,82
10,DIMANCHE 27 FÉVRIER 2022,63,TIRAGE «BENEDICTION» N°184,49,76,13,68
11,DIMANCHE 27 FÉVRIER 2022,88,TIRAGE «BENEDICTION» NUMEROS MACHINE N°184,29,86,56,48
0,LUNDI 7 MARS 2022,56,TIRAGE «REVEIL» N°185,86,22,58,64
1,LUNDI 7 MARS 2022,19,TIRAGE «REVEIL» NUMEROS MACHINE N°185,81,88,3,28
2,DIMANCHE 6 MARS 2022,41,TIRAGE «AWALE» N°165,60,12,2,65
3,DIMANCHE 6 MARS 2022,53,TIRAGE «AWALE» NUMEROS MACHINE N°165,8,28,82,22
4,DIMANCHE 6 MARS 2022,67,TIRAGE «PRESTIGE» N°233,40,64,83,62
5,DIMANCHE 6 MARS 2022,68,TIRAGE «PRESTIGE» NUMEROS MACHINE N°233,22,37,87,13
6,DIMANCHE 6 MARS 2022,39,TIRAGE «BENEDICTION» N°185,9,6,37,51
7,DIMANCHE 6 MARS 2022,77,TIRAGE «BENEDICTION» NUMEROS MACHINE N°185,20,86,55,28
8,SAMEDI 5 MARS 2022,90,TIRAGE «SATURDAY NATIONAL » N°3098,61,80,72,84
9,SAMEDI 5 MARS 2022,89,TIRAGE « MOAYE » NUMEROS MACHINE N°165,65,82,86,13
10,SAMEDI 5 MARS 2022,17,TIRAGE « MOAYE » N°165,88,23,38,18
11,SAMEDI 5 MARS 2022,20,TIRAGE « DIAMANT» NUMEROS MACHINE N°714,63,37,74,77
0,JEUDI 17 FÉVRIER 2022,23,TIRAGE «KADO» N°181,34,50,86,36
1,JEUDI 17 FÉVRIER 2022,90,TIRAGE «KADO» NUMEROS MACHINE N°181,81,39,69,32
2,MERCREDI 16 FÉVRIER 2022,85,TIRAGE « MID WEEK » N°950,80,7,22,11
3,MERCREDI 16 FÉVRIER 2022,21,TIRAGE «BARAKA» NUMEROS MACHINE N°163,10,28,65,19
4,MERCREDI 16 FÉVRIER 2022,18,TIRAGE «BARAKA» N°163,70,33,74,80
5,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
6,MERCREDI 16 FÉVRIER 2022,47,TIRAGE «FORTUNE» N°711,51,8,42,87
7,MERCREDI 16 FÉVRIER 2022,68,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°182,98,85,61,4
8,MERCREDI 16 FÉVRIER 2022,74,TIRAGE «PREMIERE HEURE» N°182,18,70,71,16
9,MARDI 15 FÉVRIER 2022,22,TIRAGE «SIKA» NUMEROS MACHINE N°163,29,50,61,39
10,MARDI 15 FÉVRIER 2022,32,TIRAGE «SIKA» N°163,11,28,30,81
11,MARDI 15 FÉVRIER 2022,60,TIRAGE « EMERGENCE » NUMEROS MACHINE N°303,48,70,76,65
0,VENDREDI 18 FÉVRIER 2022,13,TIRAGE «CASH» N°183,41,3,19,33
1,VENDREDI 18 FÉVRIER 2022,26,TIRAGE «CASH» NUMEROS MACHINE N°183,5,46,20,28
2,JEUDI 17 FÉVRIER 2022,64,TIRAGE « FORTUNE THURSDAY» N°753,87,90,18,32
3,JEUDI 17 FÉVRIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°163,29,37,40,70
4,JEUDI 17 FÉVRIER 2022,84,TIRAGE «MONNI» N°163,65,39,41,21
5,JEUDI 17 FÉVRIER 2022,76,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°303,47,25,40,1
6,JEUDI 17 FÉVRIER 2022,10,TIRAGE «PRIVILEGE» N°303,12,37,13,23
7,JEUDI 17 FÉVRIER 2022,90,TIRAGE «KADO» NUMEROS MACHINE N°181,81,39,69,32
8,JEUDI 17 FÉVRIER 2022,23,TIRAGE «KADO» N°181,34,50,86,36
9,MERCREDI 16 FÉVRIER 2022,21,TIRAGE «BARAKA» NUMEROS MACHINE N°163,10,28,65,19
10,MERCREDI 16 FÉVRIER 2022,85,TIRAGE « MID WEEK » N°950,80,7,22,11
11,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
0,MARDI 8 MARS 2022,26,TIRAGE « LA MATINALE » N°185,66,43,50,42
1,MARDI 8 MARS 2022,34,TIRAGE « LA MATINALE » NUMEROS MACHINE N°185,45,29,6,84
2,LUNDI 7 MARS 2022,50,TIRAGE «SPECIAL DAYS OFF» N°24,7,68,53,82
3,LUNDI 7 MARS 2022,37,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°24,23,46,51,8
4,LUNDI 7 MARS 2022,40,TIRAGE «AKWABA» N°166,53,22,15,81
5,LUNDI 7 MARS 2022,58,TIRAGE «AKWABA» NUMEROS MACHINE N°166,23,16,25,11
6,LUNDI 7 MARS 2022,57,TIRAGE «ETOILE» N°304,49,69,26,29
7,LUNDI 7 MARS 2022,46,TIRAGE «ETOILE» NUMEROS MACHINE N°304,31,81,5,20
8,LUNDI 7 MARS 2022,56,TIRAGE «REVEIL» N°185,86,22,58,64
9,LUNDI 7 MARS 2022,19,TIRAGE «REVEIL» NUMEROS MACHINE N°185,81,88,3,28
10,DIMANCHE 6 MARS 2022,41,TIRAGE «AWALE» N°165,60,12,2,65
11,DIMANCHE 6 MARS 2022,53,TIRAGE «AWALE» NUMEROS MACHINE N°165,8,28,82,22
0,MERCREDI 16 FÉVRIER 2022,47,TIRAGE «FORTUNE» N°711,51,8,42,87
1,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
2,MERCREDI 16 FÉVRIER 2022,74,TIRAGE «PREMIERE HEURE» N°182,18,70,71,16
3,MERCREDI 16 FÉVRIER 2022,68,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°182,98,85,61,4
4,MARDI 15 FÉVRIER 2022,32,TIRAGE «SIKA» N°163,11,28,30,81
5,MARDI 15 FÉVRIER 2022,22,TIRAGE «SIKA» NUMEROS MACHINE N°163,29,50,61,39
6,MARDI 15 FÉVRIER 2022,31,TIRAGE « EMERGENCE » N°303,86,2,62,7
7,MARDI 15 FÉVRIER 2022,60,TIRAGE « EMERGENCE » NUMEROS MACHINE N°303,48,70,76,65
8,MARDI 15 FÉVRIER 2022,63,TIRAGE « LA MATINALE » N°182,10,22,89,68
9,MARDI 15 FÉVRIER 2022,16,TIRAGE « LA MATINALE » NUMEROS MACHINE N°182,58,31,37,72
10,LUNDI 14 FÉVRIER 2022,65,TIRAGE «MONDAY SPECIAL» N°820,46,85,23,42
11,LUNDI 14 FÉVRIER 2022,53,TIRAGE «AKWABA» NUMEROS MACHINE N°163,50,87,15,3
0,SAMEDI 5 MARS 2022,90,TIRAGE «SATURDAY NATIONAL » N°3098,61,80,72,84
1,SAMEDI 5 MARS 2022,89,TIRAGE « MOAYE » NUMEROS MACHINE N°165,65,82,86,13
2,SAMEDI 5 MARS 2022,17,TIRAGE « MOAYE » N°165,88,23,38,18
3,SAMEDI 5 MARS 2022,20,TIRAGE « DIAMANT» NUMEROS MACHINE N°714,63,37,74,77
4,SAMEDI 5 MARS 2022,58,TIRAGE « DIAMANT» N°714,32,13,73,26
5,SAMEDI 5 MARS 2022,24,TIRAGE « SOUTRA» NUMEROS MACHINE N°185,34,71,48,88
6,SAMEDI 5 MARS 2022,89,TIRAGE « SOUTRA» N°185,23,79,43,75
7,VENDREDI 4 MARS 2022,79,TIRAGE « WARI » NUMEROS MACHINE N°165,13,49,32,82
8,VENDREDI 4 MARS 2022,26,TIRAGE « FRIDAY BONANZA» N° 727,73,90,71,67
9,VENDREDI 4 MARS 2022,34,TIRAGE « SOLUTION » NUMEROS MACHINE N°305,16,23,55,39
10,VENDREDI 4 MARS 2022,68,TIRAGE « WARI » N°165,26,89,75,48
11,VENDREDI 4 MARS 2022,21,TIRAGE «CASH» NUMEROS MACHINE N°185,56,59,48,72
0,JEUDI 3 MARS 2022,87,TIRAGE « FORTUNE THURSDAY» N°755,23,5,69,72
1,JEUDI 3 MARS 2022,19,TIRAGE «MONNI» NUMEROS MACHINE N°165,79,26,78,83
2,JEUDI 3 MARS 2022,77,TIRAGE «MONNI» N°165,65,33,13,38
3,JEUDI 3 MARS 2022,79,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°305,8,2,36,33
4,JEUDI 3 MARS 2022,21,TIRAGE «PRIVILEGE» N°305,9,70,23,19
5,JEUDI 3 MARS 2022,36,TIRAGE «KADO» NUMEROS MACHINE N°182,34,62,88,21
6,JEUDI 3 MARS 2022,18,TIRAGE «KADO» N°182,71,7,27,51
7,MERCREDI 2 MARS 2022,83,TIRAGE «BARAKA» NUMEROS MACHINE N°165,14,24,38,87
8,MERCREDI 2 MARS 2022,77,TIRAGE « MID WEEK » N°952,43,88,18,52
9,MERCREDI 2 MARS 2022,5,TIRAGE «FORTUNE» NUMEROS MACHINE N°713,48,72,62,33
10,MERCREDI 2 MARS 2022,54,TIRAGE «BARAKA» N°165,59,79,75,85
11,MERCREDI 2 MARS 2022,89,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°184,19,30,35,56
0,MARDI 15 FÉVRIER 2022,63,TIRAGE « LA MATINALE » N°182,10,22,89,68
1,MARDI 15 FÉVRIER 2022,16,TIRAGE « LA MATINALE » NUMEROS MACHINE N°182,58,31,37,72
2,LUNDI 14 FÉVRIER 2022,65,TIRAGE «MONDAY SPECIAL» N°820,46,85,23,42
3,LUNDI 14 FÉVRIER 2022,53,TIRAGE «AKWABA» NUMEROS MACHINE N°163,50,87,15,3
4,LUNDI 14 FÉVRIER 2022,23,TIRAGE «AKWABA» N°163,45,37,30,90
5,LUNDI 14 FÉVRIER 2022,75,TIRAGE «ETOILE» NUMEROS MACHINE N°302,44,76,4,53
6,LUNDI 14 FÉVRIER 2022,49,TIRAGE «ETOILE» N°302,31,70,84,52
7,LUNDI 14 FÉVRIER 2022,26,TIRAGE «REVEIL» NUMEROS MACHINE N°182,39,45,54,87
8,LUNDI 14 FÉVRIER 2022,14,TIRAGE «REVEIL» N°182,1,33,74,89
9,DIMANCHE 13 FÉVRIER 2022,21,TIRAGE «ESPOIR» NUMEROS MACHINE N°199,85,35,34,18
10,DIMANCHE 13 FÉVRIER 2022,23,TIRAGE «ESPOIR» N°199,58,2,68,65
11,DIMANCHE 13 FÉVRIER 2022,16,TIRAGE «AWALE» NUMEROS MACHINE N°162,73,59,71,62
